GEO,GRADE,SEX,NUM,YEAR
Canada,Kindergarten,Females,165129,2001
Canada,Kindergarten,Females,159798,2002
Canada,Kindergarten,Females,157068,2003
Canada,Kindergarten,Females,154785,2004
Canada,Kindergarten,Females,151413,2005
Canada,Kindergarten,Females,153171,2006
Canada,Kindergarten,Females,151356,2007
Canada,Kindergarten,Females,154929,2008
Canada,Kindergarten,Females,155910,2009
Canada,Kindergarten,Females,159567,2010
Canada,Kindergarten,Females,165174,2011
Canada,Kindergarten,Females,172338,2012
Canada,Kindergarten,Females,176838,2013
Canada,Grade 1,Both sexes,392523,1997
Canada,Grade 1,Both sexes,388470,1998
Canada,Grade 1,Both sexes,378393,1999
Canada,Grade 1,Both sexes,375171,2000
Canada,Grade 1,Both sexes,368424,2001
Canada,Grade 1,Both sexes,356094,2002
Canada,Grade 1,Both sexes,343722,2003
Canada,Grade 1,Both sexes,336294,2004
Canada,Grade 1,Both sexes,330252,2005
Canada,Grade 1,Both sexes,323178,2006
Canada,Grade 1,Both sexes,325644,2007
Canada,Grade 1,Both sexes,323586,2008
Canada,Grade 1,Both sexes,330675,2009
Canada,Grade 1,Both sexes,333102,2010
Canada,Grade 1,Both sexes,336939,2011
Canada,Grade 1,Both sexes,347460,2012
Canada,Grade 1,Both sexes,361668,2013
Canada,Grade 1,Males,202275,1997
Canada,Grade 1,Males,200214,1998
Canada,Grade 1,Males,195378,1999
Canada,Grade 1,Males,193557,2000
Canada,Grade 1,Males,189663,2001
Canada,Grade 1,Males,183441,2002
Canada,Grade 1,Males,177093,2003
Canada,Grade 1,Males,172551,2004
Canada,Grade 1,Males,169605,2005
Canada,Grade 1,Males,166455,2006
Canada,Grade 1,Males,167316,2007
Canada,Grade 1,Males,166497,2008
Canada,Grade 1,Males,169428,2009
Canada,Grade 1,Males,171240,2010
Canada,Grade 1,Males,173061,2011
Canada,Grade 1,Males,178671,2012
Canada,Grade 1,Males,185712,2013
Canada,Grade 1,Females,190248,1997
Canada,Grade 1,Females,188256,1998
Canada,Grade 1,Females,183015,1999
Canada,Grade 1,Females,180741,2000
Canada,Grade 1,Females,178761,2001
Canada,Grade 1,Females,172653,2002
Canada,Grade 1,Females,166635,2003
Canada,Grade 1,Females,163743,2004
Canada,Grade 1,Females,160647,2005
Canada,Grade 1,Females,156726,2006
Canada,Grade 1,Females,158331,2007
Canada,Grade 1,Females,157089,2008
Canada,Grade 1,Females,161244,2009
Canada,Grade 1,Females,161859,2010
Canada,Grade 1,Females,163881,2011
Canada,Grade 1,Females,168789,2012
Canada,Grade 1,Females,175953,2013
Canada,Grade 2,Both sexes,390663,1997
Canada,Grade 2,Both sexes,385875,1998
Canada,Grade 2,Both sexes,383565,1999
Canada,Grade 2,Both sexes,375588,2000
Canada,Grade 2,Both sexes,377097,2001
Canada,Grade 2,Both sexes,373203,2002
Canada,Grade 2,Both sexes,361053,2003
Canada,Grade 2,Both sexes,347928,2004
Canada,Grade 2,Both sexes,340590,2005
Canada,Grade 2,Both sexes,334704,2006
Canada,Grade 2,Both sexes,327864,2007
Canada,Grade 2,Both sexes,329427,2008
Canada,Grade 2,Both sexes,325887,2009
Canada,Grade 2,Both sexes,332232,2010
Canada,Grade 2,Both sexes,334599,2011
Canada,Grade 2,Both sexes,337755,2012
Canada,Grade 2,Both sexes,348381,2013
Canada,Grade 2,Males,200721,1997
Canada,Grade 2,Males,197715,1998
Canada,Grade 2,Males,196572,1999
Canada,Grade 2,Males,192930,2000
Canada,Grade 2,Males,194907,2001
Canada,Grade 2,Males,191964,2002
Canada,Grade 2,Males,186093,2003
Canada,Grade 2,Males,179451,2004
Canada,Grade 2,Males,174954,2005
Canada,Grade 2,Males,171978,2006
Canada,Grade 2,Males,169113,2007
Canada,Grade 2,Males,169323,2008
Canada,Grade 2,Males,167436,2009
Canada,Grade 2,Males,170181,2010
Canada,Grade 2,Males,171747,2011
Canada,Grade 2,Males,173034,2012
Canada,Grade 2,Males,178881,2013
Canada,Grade 2,Females,189939,1997
Canada,Grade 2,Females,188160,1998
Canada,Grade 2,Females,186996,1999
Canada,Grade 2,Females,181920,2000
Canada,Grade 2,Females,182190,2001
Canada,Grade 2,Females,181236,2002
Canada,Grade 2,Females,174960,2003
Canada,Grade 2,Females,168477,2004
Canada,Grade 2,Females,165636,2005
Canada,Grade 2,Females,162726,2006
Canada,Grade 2,Females,158751,2007
Canada,Grade 2,Females,160104,2008
Canada,Grade 2,Females,158454,2009
Canada,Grade 2,Females,162051,2010
Canada,Grade 2,Females,162852,2011
Canada,Grade 2,Females,164724,2012
Canada,Grade 2,Females,169500,2013
Canada,Grade 3,Both sexes,379119,1997
Canada,Grade 3,Both sexes,388992,1998
Canada,Grade 3,Both sexes,385665,1999
Canada,Grade 3,Both sexes,386160,2000
Canada,Grade 3,Both sexes,375939,2001
Canada,Grade 3,Both sexes,374172,2002
Canada,Grade 3,Both sexes,368955,2003
Canada,Grade 3,Both sexes,357126,2004
Canada,Grade 3,Both sexes,345093,2005
Canada,Grade 3,Both sexes,337290,2006
Canada,Grade 3,Both sexes,332145,2007
Canada,Grade 3,Both sexes,327429,2008
Canada,Grade 3,Both sexes,330099,2009
Canada,Grade 3,Both sexes,327081,2010
Canada,Grade 3,Both sexes,333978,2011
Canada,Grade 3,Both sexes,336024,2012
Canada,Grade 3,Both sexes,339624,2013
Canada,Grade 3,Males,193881,1997
Canada,Grade 3,Males,199128,1998
Canada,Grade 3,Males,197256,1999
Canada,Grade 3,Males,197613,2000
Canada,Grade 3,Males,193152,2001
Canada,Grade 3,Males,192747,2002
Canada,Grade 3,Males,189024,2003
Canada,Grade 3,Males,183300,2004
Canada,Grade 3,Males,177237,2005
Canada,Grade 3,Males,172641,2006
Canada,Grade 3,Males,170109,2007
Canada,Grade 3,Males,168264,2008
Canada,Grade 3,Males,169392,2009
Canada,Grade 3,Males,167742,2010
Canada,Grade 3,Males,170961,2011
Canada,Grade 3,Males,172407,2012
Canada,Grade 3,Males,173880,2013
Canada,Grade 3,Females,185238,1997
Canada,Grade 3,Females,189864,1998
Canada,Grade 3,Females,188409,1999
Canada,Grade 3,Females,187818,2000
Canada,Grade 3,Females,182784,2001
Canada,Grade 3,Females,181428,2002
Canada,Grade 3,Females,179931,2003
Canada,Grade 3,Females,173826,2004
Canada,Grade 3,Females,167853,2005
Canada,Grade 3,Females,164649,2006
Canada,Grade 3,Females,162036,2007
Canada,Grade 3,Females,159165,2008
Canada,Grade 3,Females,160707,2009
Canada,Grade 3,Females,159339,2010
Canada,Grade 3,Females,163020,2011
Canada,Grade 3,Females,163614,2012
Canada,Grade 3,Females,165747,2013
Canada,Grade 4,Both sexes,369429,1997
Canada,Grade 4,Both sexes,376617,1998
Canada,Grade 4,Both sexes,387852,1999
Canada,Grade 4,Both sexes,389163,2000
Canada,Grade 4,Both sexes,388581,2001
Canada,Grade 4,Both sexes,380781,2002
Canada,Grade 4,Both sexes,378723,2003
Canada,Grade 4,Both sexes,373266,2004
Canada,Grade 4,Both sexes,361815,2005
Canada,Grade 4,Both sexes,349488,2006
Canada,Grade 4,Both sexes,342186,2007
Canada,Grade 4,Both sexes,336282,2008
Canada,Grade 4,Both sexes,330945,2009
Canada,Grade 4,Both sexes,333267,2010
Canada,Grade 4,Both sexes,329910,2011
Canada,Grade 4,Both sexes,336387,2012
Canada,Grade 4,Both sexes,338847,2013
Canada,Grade 4,Males,188976,1997
Canada,Grade 4,Males,192267,1998
Canada,Grade 4,Males,198132,1999
Canada,Grade 4,Males,199299,2000
Canada,Grade 4,Males,199260,2001
Canada,Grade 4,Males,195891,2002
Canada,Grade 4,Males,195189,2003
Canada,Grade 4,Males,191460,2004
Canada,Grade 4,Males,185946,2005
Canada,Grade 4,Males,179655,2006
Canada,Grade 4,Males,175356,2007
Canada,Grade 4,Males,172335,2008
Canada,Grade 4,Males,169962,2009
Canada,Grade 4,Males,170991,2010
Canada,Grade 4,Males,169110,2011
Canada,Grade 4,Males,172095,2012
Canada,Grade 4,Males,173799,2013
Canada,Grade 4,Females,180450,1997
Canada,Grade 4,Females,184347,1998
Canada,Grade 4,Females,189720,1999
Canada,Grade 4,Females,189135,2000
Canada,Grade 4,Females,189321,2001
Canada,Grade 4,Females,184890,2002
Canada,Grade 4,Females,183534,2003
Canada,Grade 4,Females,181803,2004
Canada,Grade 4,Females,175866,2005
Canada,Grade 4,Females,169833,2006
Canada,Grade 4,Females,166827,2007
Canada,Grade 4,Females,163947,2008
Canada,Grade 4,Females,160983,2009
Canada,Grade 4,Females,162276,2010
Canada,Grade 4,Females,160800,2011
Canada,Grade 4,Females,164292,2012
Canada,Grade 4,Females,165045,2013
Canada,Grade 5,Both sexes,366075,1997
Canada,Grade 5,Both sexes,367446,1998
Canada,Grade 5,Both sexes,376545,1999
Canada,Grade 5,Both sexes,393603,2000
Canada,Grade 5,Both sexes,390990,2001
Canada,Grade 5,Both sexes,389286,2002
Canada,Grade 5,Both sexes,380109,2003
Canada,Grade 5,Both sexes,377829,2004
Canada,Grade 5,Both sexes,372387,2005
Canada,Grade 5,Both sexes,360855,2006
Canada,Grade 5,Both sexes,348777,2007
Canada,Grade 5,Both sexes,342495,2008
Canada,Grade 5,Both sexes,337608,2009
Canada,Grade 5,Both sexes,332322,2010
Canada,Grade 5,Both sexes,334953,2011
Canada,Grade 5,Both sexes,331494,2012
Canada,Grade 5,Both sexes,338163,2013
Canada,Grade 5,Males,187380,1997
Canada,Grade 5,Males,187683,1998
Canada,Grade 5,Males,192135,1999
Canada,Grade 5,Males,201519,2000
Canada,Grade 5,Males,200565,2001
Canada,Grade 5,Males,199389,2002
Canada,Grade 5,Males,195165,2003
Canada,Grade 5,Males,194169,2004
Canada,Grade 5,Males,190536,2005
Canada,Grade 5,Males,185172,2006
Canada,Grade 5,Males,178818,2007
Canada,Grade 5,Males,175200,2008
Canada,Grade 5,Males,172740,2009
Canada,Grade 5,Males,170478,2010
Canada,Grade 5,Males,171789,2011
Canada,Grade 5,Males,169809,2012
Canada,Grade 5,Males,172800,2013
Canada,Grade 5,Females,178695,1997
Canada,Grade 5,Females,179760,1998
Canada,Grade 5,Females,184407,1999
Canada,Grade 5,Females,191385,2000
Canada,Grade 5,Females,190422,2001
Canada,Grade 5,Females,189900,2002
Canada,Grade 5,Females,184944,2003
Canada,Grade 5,Females,183660,2004
Canada,Grade 5,Females,181851,2005
Canada,Grade 5,Females,175683,2006
Canada,Grade 5,Females,169959,2007
Canada,Grade 5,Females,167295,2008
Canada,Grade 5,Females,164871,2009
Canada,Grade 5,Females,161844,2010
Canada,Grade 5,Females,163164,2011
Canada,Grade 5,Females,161685,2012
Canada,Grade 5,Females,165363,2013
Canada,Grade 6,Both sexes,369975,1997
Canada,Grade 6,Both sexes,364074,1998
Canada,Grade 6,Both sexes,367800,1999
Canada,Grade 6,Both sexes,383994,2000
Canada,Grade 6,Both sexes,395721,2001
Canada,Grade 6,Both sexes,394122,2002
Canada,Grade 6,Both sexes,392949,2003
Canada,Grade 6,Both sexes,383475,2004
Canada,Grade 6,Both sexes,381231,2005
Canada,Grade 6,Both sexes,374274,2006
Canada,Grade 6,Both sexes,363261,2007
Canada,Grade 6,Both sexes,350649,2008
Canada,Grade 6,Both sexes,344322,2009
Canada,Grade 6,Both sexes,338703,2010
Canada,Grade 6,Both sexes,333603,2011
Canada,Grade 6,Both sexes,335529,2012
Canada,Grade 6,Both sexes,332625,2013
Canada,Grade 6,Males,189615,1997
Canada,Grade 6,Males,185820,1998
Canada,Grade 6,Males,187542,1999
Canada,Grade 6,Males,196446,2000
Canada,Grade 6,Males,202884,2001
Canada,Grade 6,Males,202164,2002
Canada,Grade 6,Males,201195,2003
Canada,Grade 6,Males,196881,2004
Canada,Grade 6,Males,195939,2005
Canada,Grade 6,Males,191379,2006
Canada,Grade 6,Males,186225,2007
Canada,Grade 6,Males,179691,2008
Canada,Grade 6,Males,175950,2009
Canada,Grade 6,Males,173121,2010
Canada,Grade 6,Males,171039,2011
Canada,Grade 6,Males,171816,2012
Canada,Grade 6,Males,170136,2013
Canada,Grade 6,Females,180357,1997
Canada,Grade 6,Females,178254,1998
Canada,Grade 6,Females,180261,1999
Canada,Grade 6,Females,186945,2000
Canada,Grade 6,Females,192837,2001
Canada,Grade 6,Females,191958,2002
Canada,Grade 6,Females,191754,2003
Canada,Grade 6,Females,186594,2004
Canada,Grade 6,Females,185295,2005
Canada,Grade 6,Females,182892,2006
Canada,Grade 6,Females,177033,2007
Canada,Grade 6,Females,170955,2008
Canada,Grade 6,Females,168375,2009
Canada,Grade 6,Females,165582,2010
Canada,Grade 6,Females,162567,2011
Canada,Grade 6,Females,163716,2012
Canada,Grade 6,Females,162489,2013
Canada,Grade 7,Both sexes,380130,1997
Canada,Grade 7,Both sexes,372201,1998
Canada,Grade 7,Both sexes,367599,1999
Canada,Grade 7,Both sexes,377121,2000
Canada,Grade 7,Both sexes,385959,2001
Canada,Grade 7,Both sexes,398610,2002
Canada,Grade 7,Both sexes,396927,2003
Canada,Grade 7,Both sexes,397014,2004
Canada,Grade 7,Both sexes,387801,2005
Canada,Grade 7,Both sexes,379227,2006
Canada,Grade 7,Both sexes,371907,2007
Canada,Grade 7,Both sexes,360684,2008
Canada,Grade 7,Both sexes,350295,2009
Canada,Grade 7,Both sexes,344313,2010
Canada,Grade 7,Both sexes,338748,2011
Canada,Grade 7,Both sexes,334278,2012
Canada,Grade 7,Both sexes,336726,2013
Canada,Grade 7,Males,196827,1997
Canada,Grade 7,Males,192555,1998
Canada,Grade 7,Males,189546,1999
Canada,Grade 7,Males,194709,2000
Canada,Grade 7,Males,199245,2001
Canada,Grade 7,Males,206256,2002
Canada,Grade 7,Males,205800,2003
Canada,Grade 7,Males,205503,2004
Canada,Grade 7,Males,201219,2005
Canada,Grade 7,Males,196527,2006
Canada,Grade 7,Males,191526,2007
Canada,Grade 7,Males,186483,2008
Canada,Grade 7,Males,181062,2009
Canada,Grade 7,Males,177303,2010
Canada,Grade 7,Males,174351,2011
Canada,Grade 7,Males,172818,2012
Canada,Grade 7,Males,173865,2013
Canada,Grade 7,Females,183300,1997
Canada,Grade 7,Females,179646,1998
Canada,Grade 7,Females,178053,1999
Canada,Grade 7,Females,181539,2000
Canada,Grade 7,Females,186714,2001
Canada,Grade 7,Females,192351,2002
Canada,Grade 7,Females,191127,2003
Canada,Grade 7,Females,191514,2004
Canada,Grade 7,Females,186585,2005
Canada,Grade 7,Females,182700,2006
Canada,Grade 7,Females,180381,2007
Canada,Grade 7,Females,174201,2008
Canada,Grade 7,Females,169236,2009
Canada,Grade 7,Females,167010,2010
Canada,Grade 7,Females,164397,2011
Canada,Grade 7,Females,161460,2012
Canada,Grade 7,Females,162861,2013
Canada,Grade 8,Both sexes,376968,1997
Canada,Grade 8,Both sexes,372813,1998
Canada,Grade 8,Both sexes,368196,1999
Canada,Grade 8,Both sexes,371688,2000
Canada,Grade 8,Both sexes,376383,2001
Canada,Grade 8,Both sexes,386301,2002
Canada,Grade 8,Both sexes,397323,2003
Canada,Grade 8,Both sexes,394326,2004
Canada,Grade 8,Both sexes,393570,2005
Canada,Grade 8,Both sexes,390978,2006
Canada,Grade 8,Both sexes,388566,2007
Canada,Grade 8,Both sexes,379530,2008
Canada,Grade 8,Both sexes,367026,2009
Canada,Grade 8,Both sexes,354339,2010
Canada,Grade 8,Both sexes,347517,2011
Canada,Grade 8,Both sexes,340557,2012
Canada,Grade 8,Both sexes,334833,2013
Canada,Grade 8,Males,194385,1997
Canada,Grade 8,Males,191625,1998
Canada,Grade 8,Males,189252,1999
Canada,Grade 8,Males,191310,2000
Canada,Grade 8,Males,193740,2001
Canada,Grade 8,Males,198588,2002
Canada,Grade 8,Males,204492,2003
Canada,Grade 8,Males,203160,2004
Canada,Grade 8,Males,202539,2005
Canada,Grade 8,Males,202464,2006
Canada,Grade 8,Males,201711,2007
Canada,Grade 8,Males,195762,2008
Canada,Grade 8,Males,189816,2009
Canada,Grade 8,Males,183024,2010
Canada,Grade 8,Males,178833,2011
Canada,Grade 8,Males,175161,2012
Canada,Grade 8,Males,172767,2013
Canada,Grade 8,Females,182589,1997
Canada,Grade 8,Females,181188,1998
Canada,Grade 8,Females,178941,1999
Canada,Grade 8,Females,179745,2000
Canada,Grade 8,Females,182643,2001
Canada,Grade 8,Females,187710,2002
Canada,Grade 8,Females,192831,2003
Canada,Grade 8,Females,191166,2004
Canada,Grade 8,Females,191031,2005
Canada,Grade 8,Females,188514,2006
Canada,Grade 8,Females,186858,2007
Canada,Grade 8,Females,183765,2008
Canada,Grade 8,Females,177207,2009
Canada,Grade 8,Females,171318,2010
Canada,Grade 8,Females,168684,2011
Canada,Grade 8,Females,165399,2012
Canada,Grade 8,Females,162069,2013
Canada,Grade 9,Both sexes,386478,1997
Canada,Grade 9,Both sexes,389472,1998
Canada,Grade 9,Both sexes,386748,1999
Canada,Grade 9,Both sexes,384045,2000
Canada,Grade 9,Both sexes,384189,2001
Canada,Grade 9,Both sexes,386847,2002
Canada,Grade 9,Both sexes,394266,2003
Canada,Grade 9,Both sexes,403941,2004
Canada,Grade 9,Both sexes,401985,2005
Canada,Grade 9,Both sexes,401640,2006
Canada,Grade 9,Both sexes,394452,2007
Canada,Grade 9,Both sexes,398598,2008
Canada,Grade 9,Both sexes,392172,2009
Canada,Grade 9,Both sexes,380439,2010
Canada,Grade 9,Both sexes,369351,2011
Canada,Grade 9,Both sexes,361053,2012
Canada,Grade 9,Both sexes,352119,2013
Canada,Grade 9,Males,199950,1997
Canada,Grade 9,Males,201408,1998
Canada,Grade 9,Males,199473,1999
Canada,Grade 9,Males,198078,2000
Canada,Grade 9,Males,198420,2001
Canada,Grade 9,Males,199239,2002
Canada,Grade 9,Males,202839,2003
Canada,Grade 9,Males,207702,2004
Canada,Grade 9,Males,206637,2005
Canada,Grade 9,Males,206757,2006
Canada,Grade 9,Males,203811,2007
Canada,Grade 9,Males,207291,2008
Canada,Grade 9,Males,202941,2009
Canada,Grade 9,Males,197682,2010
Canada,Grade 9,Males,191682,2011
Canada,Grade 9,Males,186606,2012
Canada,Grade 9,Males,181824,2013
Canada,Grade 9,Females,186528,1997
Canada,Grade 9,Females,188067,1998
Canada,Grade 9,Females,187275,1999
Canada,Grade 9,Females,185334,2000
Canada,Grade 9,Females,185772,2001
Canada,Grade 9,Females,187608,2002
Canada,Grade 9,Females,191424,2003
Canada,Grade 9,Females,196239,2004
Canada,Grade 9,Females,195348,2005
Canada,Grade 9,Females,194883,2006
Canada,Grade 9,Females,190641,2007
Canada,Grade 9,Females,191304,2008
Canada,Grade 9,Females,189231,2009
Canada,Grade 9,Females,182757,2010
Canada,Grade 9,Females,177669,2011
Canada,Grade 9,Females,174447,2012
Canada,Grade 9,Females,170298,2013
Canada,Grade 10,Both sexes,386523,1997
Canada,Grade 10,Both sexes,390072,1998
Canada,Grade 10,Both sexes,393534,1999
Canada,Grade 10,Both sexes,385335,2000
Canada,Grade 10,Both sexes,382707,2001
Canada,Grade 10,Both sexes,383319,2002
Canada,Grade 10,Both sexes,386859,2003
Canada,Grade 10,Both sexes,393882,2004
Canada,Grade 10,Both sexes,404964,2005
Canada,Grade 10,Both sexes,402906,2006
Canada,Grade 10,Both sexes,402843,2007
Canada,Grade 10,Both sexes,392238,2008
Canada,Grade 10,Both sexes,392211,2009
Canada,Grade 10,Both sexes,387297,2010
Canada,Grade 10,Both sexes,374892,2011
Canada,Grade 10,Both sexes,364839,2012
Canada,Grade 10,Both sexes,356922,2013
Canada,Grade 10,Males,198738,1997
Canada,Grade 10,Males,200580,1998
Canada,Grade 10,Males,202704,1999
Canada,Grade 10,Males,197274,2000
Canada,Grade 10,Males,196608,2001
Canada,Grade 10,Males,196851,2002
Canada,Grade 10,Males,197877,2003
Canada,Grade 10,Males,201318,2004
Canada,Grade 10,Males,207138,2005
Canada,Grade 10,Males,206124,2006
Canada,Grade 10,Males,206106,2007
Canada,Grade 10,Males,200865,2008
Canada,Grade 10,Males,201465,2009
Canada,Grade 10,Males,197958,2010
Canada,Grade 10,Males,192141,2011
Canada,Grade 10,Males,186939,2012
Canada,Grade 10,Males,182337,2013
Canada,Grade 10,Females,187782,1997
Canada,Grade 10,Females,189492,1998
Canada,Grade 10,Females,190830,1999
Canada,Grade 10,Females,187209,2000
Canada,Grade 10,Females,186102,2001
Canada,Grade 10,Females,186468,2002
Canada,Grade 10,Females,188979,2003
Canada,Grade 10,Females,192567,2004
Canada,Grade 10,Females,197826,2005
Canada,Grade 10,Females,196782,2006
Canada,Grade 10,Females,196734,2007
Canada,Grade 10,Females,191376,2008
Canada,Grade 10,Females,190743,2009
Canada,Grade 10,Females,189336,2010
Canada,Grade 10,Females,182751,2011
Canada,Grade 10,Females,177897,2012
Canada,Grade 10,Females,174585,2013
Canada,Grade 11,Both sexes,372687,1997
Canada,Grade 11,Both sexes,377808,1998
Canada,Grade 11,Both sexes,380145,1999
Canada,Grade 11,Both sexes,385638,2000
Canada,Grade 11,Both sexes,377502,2001
Canada,Grade 11,Both sexes,377283,2002
Canada,Grade 11,Both sexes,376053,2003
Canada,Grade 11,Both sexes,380313,2004
Canada,Grade 11,Both sexes,386064,2005
Canada,Grade 11,Both sexes,396267,2006
Canada,Grade 11,Both sexes,394383,2007
Canada,Grade 11,Both sexes,393564,2008
Canada,Grade 11,Both sexes,386289,2009
Canada,Grade 11,Both sexes,387150,2010
Canada,Grade 11,Both sexes,382026,2011
